ID	category	collection_year_factor	country	state	crop	inferred_sex	CYP337b3	filter1	ARM_anc	AH	material	DNA_extraction_concentration	library_concentration	number_bases_passing_Q20	percent_mapped	chr24_inversion_genotype	chr26_inversion_genotype	chr21_inversion_genotype	filter1
CAM046109	Brazilian_helicoverpa	2016	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	No	0.988550134	0.017911076	adult	NA	NA	1327807482	94.19	NA	NA	NA	N
CAM046113	Brazilian_helicoverpa	2016	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	Yes	0.975965167	0.042542816	adult	NA	NA	1954176485	91.91	ARM2/ARM2	ARM1/ARM1	ARM1/ARM1	Y
CAM046114	Brazilian_helicoverpa	2016	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	No	0.974899821	0.045579732	adult	NA	NA	1623780374	86.46	NA	NA	NA	N
CAM046117	Brazilian_helicoverpa	2016	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	Yes	0.040867321	0.078781621	adult	NA	NA	2703655248	93.87	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046120	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	No	0.06020384	0.11092676	adult	NA	NA	998618313	91.11	NA	NA	NA	N
CAM046121	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	Yes	0.06285574	0.115951178	adult	NA	NA	4026350653	92.49	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046122	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	Yes	0.985449798	0.024208984	adult	NA	NA	1754195783	91.85	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046124	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	No	0.972049263	0.049578712	adult	NA	NA	1600642093	94.36	NA	NA	NA	N
CAM046125	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	No	0.054715211	0.098349603	adult	NA	NA	924099378	90.2	NA	NA	NA	N
CAM046126	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	No	0.981308854	0.032768754	adult	NA	NA	782468771	92.11	NA	NA	NA	N
CAM046127	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	Yes	0.971841007	0.05154197	adult	NA	NA	3835251774	95.01	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046128	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	No	0.980217311	0.033990386	adult	NA	NA	829022636	91.94	NA	NA	NA	N
CAM046131	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	Yes	0.055872303	0.109125284	adult	NA	NA	3641264515	94.31	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046136	Brazilian_helicoverpa	2016	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	No	0.045058218	0.085696189	adult	NA	NA	1630983843	90.58	NA	NA	NA	N
CAM046137	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	Yes	0.034130319	0.065894161	adult	NA	NA	3114337617	94.05	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046141	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	Yes	0.030440532	0.054056072	adult	NA	NA	2442222244	93.41	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046142	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	Yes	0.022939631	0.043330963	adult	NA	NA	3605422277	92.91	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046144	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	No	0.10446692	0.175221239	adult	NA	NA	966398521	91.88	NA	NA	NA	N
CAM046145	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	No	0.090112101	0.161695447	adult	NA	NA	1139936861	90.92	NA	NA	NA	N
CAM046146	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	Yes	0.039290185	0.074224101	adult	NA	NA	3816457161	94.35	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046147	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	No	0.018328028	0.029006509	adult	NA	NA	1076318959	93.25	NA	NA	NA	N
CAM046148	Brazilian_helicoverpa	2017	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	Yes	0.021159301	0.039892951	adult	NA	NA	3448567639	94.46	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046214	Brazilian_helicoverpa	2015	Brazil	Mato Grosso	mixed	female	NA	Yes	0.981565111	0.032353775	adult	NA	NA	2163812240	92.29	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046215	Brazilian_helicoverpa	2015	Brazil	Mato Grosso	mixed	female	NA	Yes	0.982443527	0.031359951	adult	NA	NA	2589729583	94.38	ARM2/ARM2	ARM2/ARM2	ARM2/ARM2	Y
CAM046219	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	Yes	0.981897668	0.03175734	adult	NA	NA	2149746874	94.95	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046220	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	female	NA	Yes	0.966844976	0.056786239	adult	NA	NA	2304884583	94.06	ARM2/ARM2	ARM1/ARM2	ZEA/ARM1	Y
CAM046221	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	female	NA	Yes	0.989999374	0.017081361	adult	NA	NA	2372105372	94.41	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046223	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	Yes	0.974706869	0.047230654	adult	NA	NA	4276190139	95.25	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046225	Brazilian_helicoverpa	2015	Brazil	Mato Grosso	mixed	female	NA	Yes	0.989062362	0.018489422	adult	NA	NA	2169304760	94.08	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046226	Brazilian_helicoverpa	2015	Brazil	Mato Grosso	mixed	female	NA	Yes	0.982993858	0.030476152	adult	NA	NA	2766556650	95	ARM2/ARM2	ARM1/ARM2	ZEA/ARM1	Y
CAM046227	Brazilian_helicoverpa	2015	Brazil	Mato Grosso	mixed	male	NA	No	0.968856728	0.050674522	adult	NA	NA	1045059069	94.96	NA	NA	NA	N
CAM046228	Brazilian_helicoverpa	2015	Brazil	Mato Grosso	mixed	female	NA	Yes	0.980695895	0.031748539	adult	NA	NA	1969173272	94.83	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046230	Brazilian_helicoverpa	2015	Brazil	Mato Grosso	mixed	male	NA	Yes	0.985171875	0.025706675	adult	NA	NA	2106260392	95.17	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046231	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	No	0.972775397	0.049941429	adult	NA	NA	1417587778	90.41	NA	NA	NA	N
CAM046232	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	No	0.977667649	0.039971039	adult	NA	NA	1006764177	87.79	NA	NA	NA	N
CAM046233	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	Yes	0.981957348	0.031407173	adult	NA	NA	2439108725	87.99	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046235	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	No	0.985964637	0.022268397	adult	NA	NA	726987369	59.66	NA	NA	NA	N
CAM046238	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	Yes	0.984895878	0.026416145	adult	NA	NA	2209920546	94.56	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046239	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	No	0.98437091	0.027182651	adult	NA	NA	1102362761	92.48	NA	NA	NA	N
CAM046242	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	Yes	0.98173484	0.03128171	adult	NA	NA	1832249495	94.81	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046243	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	female	NA	Yes	0.977666083	0.038337661	adult	NA	NA	2347205152	93.54	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046244	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	female	NA	No	0.974815151	0.043967251	adult	NA	NA	1545963311	91.15	NA	NA	NA	N
CAM046245	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	Yes	0.983770294	0.028975636	adult	NA	NA	2390787249	93.5	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046246	Brazilian_helicoverpa	2016	Brazil	Mato Grosso	mixed	male	NA	Yes	0.976419962	0.044044629	adult	NA	NA	5447483738	95.03	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046247	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	Yes	0.975035983	0.04310894	adult	NA	NA	1798006245	91.77	ARM2/ARM2	ARM1/ARM1	ARM1/ARM1	Y
CAM046248	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	Yes	0.979360568	0.036660746	adult	NA	NA	1881800290	90.42	ARM2/ARM2	ARM1/ARM1	ARM1/ARM2	Y
CAM046249	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	No	0.967400603	0.055462767	adult	NA	NA	1066677925	90.16	NA	NA	NA	N
CAM046250	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	No	0.970191625	0.052426945	adult	NA	NA	1298353911	92.23	NA	NA	NA	N
